#1.x   #2.y      #3.trash #4.δx       #5.δy 
0.0253 0.1253160 0.00872  0.001933809 0.0061722
0.0753 0.3391121 0.00321  0.001566569 0.0037439
0.0802 0.3588010 0.00300  0.001547723 0.0035940
0.0856 0.3806890 0.00361  0.001600833 0.0044493
0.0953 0.4229334 0.00153  0.001391152 0.0019868
0.1002 0.4404534 0.00404  0.00163561  0.0053644
0.1054 0.4601361 0.00306  0.001553173 0.0041447
0.1255 0.5466138 0.00115  0.001339116 0.0017074
0.1304 0.5680134 0.00208  0.00145607  0.0031378
0.1356 0.5893121 0.00153  0.001391152 0.0023453
0.1551 0.6636818 0.00153  0.001391152 0.0024888
